HOUR_,open,high,low,close,op_bought,op_sold,eth_bought,eth_sold,op_fees,eth_fees,trade_count,vwap_24h,vwap_168h
2026-01-02 14:00:00,10168.981704027823,10298.36167390822,10158.29423191137,10298.36167390822,4610.037002172439,15305.182200199892,1.493209038837246,0.45394194975792934,45.915546600599676,0.0013618258492737881,50,10284.57018195782,10602.448813388513
2026-01-02 15:00:00,10302.565957015087,10309.619198850682,10295.964952557668,10305.103213774893,1119.9012856179215,1677.894610429673,0.1623752150854959,0.10902591620566829,5.03368383128902,0.0003270777486170048,7,10255.863388553767,10599.768000709175
2026-01-02 16:00:00,10305.103246915625,10369.801324538561,10286.418982389267,10339.022460708182,4938.378556568815,7653.7158470943905,0.7389893660466108,0.47956433932804354,22.96114754128317,0.0014386930179841307,38,10247.627492374873,10589.251867399977
2026-01-02 17:00:00,10335.023119515241,10375.545941008688,10314.67678636356,10375.545941008688,2063.4036753193895,5208.2351686113925,0.5019329682729002,0.2004109700571905,15.624705505834177,0.0006012329101715715,18,10232.119376444169,10583.864493354986
2026-01-02 18:00:00,10375.545972333439,10400.979236197878,10347.426266017783,10347.426266017783,6249.261209625195,3843.2798291422914,0.3691875870551019,0.6043158581299091,11.529839487426875,0.0018129475743897273,17,10237.154735672255,10577.940231359917
2026-01-02 19:00:00,10342.671127711455,10342.671127711455,10299.121456783665,10299.121456783665,4094.757495035664,0.0,0.0,0.3978476234381823,0.0,0.001193542870314547,9,10227.861288168846,10574.89911807881
2026-01-02 20:00:00,10292.416172001514,10347.417072405815,10279.839339903145,10290.493647008896,7299.688312151392,6587.285621573168,0.6368676324854695,0.7101177618458117,19.761856864719505,0.002130353285537435,16,10231.86750991385,10565.109422652598
2026-01-02 21:00:00,10292.080724888732,10293.65150918389,10287.269241151129,10289.171409099246,542.0376090468853,268.9789990753683,0.02605617704296297,0.05283229527268505,0.8069369972261048,0.00015849688581805516,4,10230.98228248647,10564.491285389522
2026-01-02 22:00:00,10287.269273147716,10290.295133184109,10277.943539406171,10285.513318237543,1198.5015004170543,1052.5066354179748,0.10203589286814743,0.1168865243395715,3.1575199062539245,0.00035065957301871453,7,10232.239468266951,10562.755365178782
2026-01-02 23:00:00,10280.518205679113,10280.518205679113,10237.310526470344,10237.310526470344,4099.729794955688,0.0,0.0,0.40073211895469574,0.0,0.0012021963568640873,10,10236.829848182331,10559.347218333509
2026-01-03 00:00:00,10237.310558387988,10262.034729335457,10237.310558322639,10262.034729335457,5.564621232518e-06,2110.3753780557518,0.20527931560931817,5.451984e-10,6.331126134167256,1.6355952000000003e-12,8,10239.103070803576,10557.591918861566
2026-01-03 01:00:00,10263.581446337637,10278.00137831051,10263.581446337637,10264.293796865952,1165.435593295663,1361.639213229416,0.1321862097074273,0.11380838796505648,4.084917639688248,0.00034142516389516943,11,10246.846396580077,10555.63774367671
2026-01-03 02:00:00,10264.293828825499,10264.293828825499,10176.252053555829,10176.252053555829,7532.336889510275,0.0027260273972592,2.64786780719e-07,0.7392282736683038,8.1780821917776e-06,0.0022176848210049113,20,10246.885512920537,10548.870467328648
2026-01-03 03:00:00,10180.065493792956,10200.717698079796,10172.341844510092,10172.341844510092,2437.10127472348,2106.901432891357,0.20617219029705447,0.23996765917538365,6.320704298674072,0.000719902977526151,11,10254.760102232935,10544.553697580563
2026-01-03 04:00:00,10172.34187595477,10172.34187595477,10172.341875890797,10172.341875890797,5.529306673323e-06,0.0027260273972592,2.67180296573e-07,5.451984e-10,8.1780821917776e-06,1.6355952000000003e-12,2,10261.047283268583,10544.553694913626
2026-01-03 05:00:00,10166.722169768565,10166.722169768565,10123.791670972776,10123.791670972776,4201.345571429972,0.0,0.0,0.415251464598874,0.0,0.001245754393796622,10,10258.088278159412,10540.162774911667
2026-01-03 06:00:00,10120.04447487032,10149.933935838424,10100.35245930384,10149.933935838424,2041.1433925008935,3908.3860145819663,0.3848377973680217,0.2024601590200854,11.7251580437459,0.0006073804770602561,16,10256.147782380805,10533.75943753865
2026-01-03 07:00:00,10150.094835474534,10210.136374274345,10150.094835474534,10210.136374274345,0.0,4803.25026684652,0.4704190617501978,0.0,14.409750800539562,0.0,12,10255.585648048758,10529.511174193809
2026-01-03 08:00:00,10210.13640857612,10230.25585057324,10138.624325555096,10138.624325555096,7286.962164802295,1598.1462413480444,0.15590234834629474,0.7176645658808651,4.7944387240441335,0.0021529936976425953,25,10251.94071738304,10522.018130537777
2026-01-03 09:00:00,10133.80256284739,10217.713686145495,10107.835260126642,10217.713686145495,5716.588326125706,12033.55951242901,1.1804636899972232,0.5650549234101867,36.10067853728703,0.0016951647702305602,37,10241.217753702753,10506.666655941748
2026-01-03 10:00:00,10217.713720655052,10227.065101226022,10217.713720655052,10227.065101226022,0.0,738.53119269665,0.07202970340740399,0.0,2.21559357808995,0.0,4,10240.937294058807,10506.178197294696
2026-01-03 11:00:00,10232.380933508215,10238.727587713576,10232.380933508215,10238.727587713576,0.0,920.575878414829,0.0896925238862092,0.0,2.7617276352444873,0.0,3,10240.179793402298,10505.594130820242
2026-01-03 12:00:00,10238.7276222586,10238.7276222586,10169.62873717617,10169.62873717617,5448.988224223613,0.0027260273972592,2.65447956027e-07,0.5356068249697834,8.1780821917776e-06,0.0016068204749093502,17,10240.401346844788,10501.732859317546
2026-01-03 13:00:00,10163.799469773081,10163.799469773081,10137.961451211728,10137.961451211728,2532.0375627272006,0.0,0.0,0.2501192506422772,0.0,0.0007503577519268317,6,10242.944459707627,10499.664530180451
2026-01-03 14:00:00,10132.961181598583,10132.961181598583,10117.39993628925,10117.39993628925,1646.1683510915564,0.0027260273972592,2.68338410492e-07,0.16303066977218775,8.1780821917776e-06,0.0004890920093165633,9,10246.05905988116,10498.227506896654
2026-01-03 15:00:00,10119.920576209286,10119.920576209286,10119.920576209286,10119.920576209286,0.0,202.50115803678608,0.019952607461451836,0.0,0.6075034741103582,0.0,1,10244.602185824506,10498.050267688517
2026-01-03 16:00:00,10119.920610143716,10119.920610143716,10023.001759285526,10023.001759285526,7285.515958353321,0.0027260273972592,2.68564292579e-07,0.7255770145106181,8.1780821917776e-06,0.0021767310435318542,23,10225.11167242055,10490.855447317737
2026-01-03 17:00:00,10024.438765442623,10035.606247416114,10024.438765442623,10035.606247416114,0.0,1136.1604031136294,0.11294424270797333,0.0,3.408481209340888,0.0,4,10215.795424904205,10489.660698250913
2026-01-03 18:00:00,10035.606277410461,10061.760039378429,10035.606277410461,10061.760039378429,0.0,2477.051162605544,0.24575745810591804,0.0,7.431153487816632,0.0,9,10196.38442550666,10487.192388160529
